Country,Year,cause,percentage
Afghanistan,1995,Cardiovascular diseases (%),19.9
Afghanistan,1995,Cancers (%),4.4
Afghanistan,1995,Respiratory diseases (%),2.4
Afghanistan,1995,Diabetes (%),4.1
Afghanistan,1995,Dementia (%),0.6
Afghanistan,1995,Lower respiratory infections (%),9.6
Afghanistan,1995,Neonatal deaths (%),8.4
Afghanistan,1995,Diarrheal diseases (%),3.5
Afghanistan,1995,Road incidents (%),4
Afghanistan,1995,Liver disease (%),0.9
Albania,1995,Cardiovascular diseases (%),43.4
Albania,1995,Cancers (%),16
Albania,1995,Respiratory diseases (%),4.4
Albania,1995,Diabetes (%),3.2
Albania,1995,Dementia (%),2.8
Albania,1995,Lower respiratory infections (%),9.8
Albania,1995,Neonatal deaths (%),2.9
Albania,1995,Diarrheal diseases (%),0.4
Albania,1995,Road incidents (%),1.9
Albania,1995,Liver disease (%),1.3
Algeria,1995,Cardiovascular diseases (%),30.5
Algeria,1995,Cancers (%),8.1
Algeria,1995,Respiratory diseases (%),2.8
Algeria,1995,Diabetes (%),5.8
Algeria,1995,Dementia (%),3.1
Algeria,1995,Lower respiratory infections (%),4.9
Algeria,1995,Neonatal deaths (%),12
Algeria,1995,Diarrheal diseases (%),0.8
Algeria,1995,Road incidents (%),6.6
Algeria,1995,Liver disease (%),1.4
Angola,1995,Cardiovascular diseases (%),8.6
Angola,1995,Cancers (%),3.3
Angola,1995,Respiratory diseases (%),1.5
Angola,1995,Diabetes (%),1.4
Angola,1995,Dementia (%),0.4
Angola,1995,Lower respiratory infections (%),8.9
Angola,1995,Neonatal deaths (%),7.5
Angola,1995,Diarrheal diseases (%),24.9
Angola,1995,Road incidents (%),2.2
Angola,1995,Liver disease (%),1.3
Antigua and Barbuda,1995,Cardiovascular diseases (%),39.2
Antigua and Barbuda,1995,Cancers (%),17.9
Antigua and Barbuda,1995,Respiratory diseases (%),2.1
Antigua and Barbuda,1995,Diabetes (%),13.2
Antigua and Barbuda,1995,Dementia (%),3.5
Antigua and Barbuda,1995,Lower respiratory infections (%),5
Antigua and Barbuda,1995,Neonatal deaths (%),2.2
Antigua and Barbuda,1995,Diarrheal diseases (%),0.5
Antigua and Barbuda,1995,Road incidents (%),1.2
Antigua and Barbuda,1995,Liver disease (%),2
Argentina,1995,Cardiovascular diseases (%),38.5
Argentina,1995,Cancers (%),21.3
Argentina,1995,Respiratory diseases (%),5.2
Argentina,1995,Diabetes (%),7.2
Argentina,1995,Dementia (%),3
Argentina,1995,Lower respiratory infections (%),4.2
Argentina,1995,Neonatal deaths (%),2.7
Argentina,1995,Diarrheal diseases (%),0.3
Argentina,1995,Road incidents (%),2
Argentina,1995,Liver disease (%),1.9
Armenia,1995,Cardiovascular diseases (%),50.1
Armenia,1995,Cancers (%),16.2
Armenia,1995,Respiratory diseases (%),5.2
Armenia,1995,Diabetes (%),4.7
Armenia,1995,Dementia (%),2
Armenia,1995,Lower respiratory infections (%),3
Armenia,1995,Neonatal deaths (%),2.9
Armenia,1995,Diarrheal diseases (%),1.1
Armenia,1995,Road incidents (%),1.8
Armenia,1995,Liver disease (%),2
Australia,1995,Cardiovascular diseases (%),41.1
Australia,1995,Cancers (%),26.7
Australia,1995,Respiratory diseases (%),6.2
Australia,1995,Diabetes (%),4.8
Australia,1995,Dementia (%),5.4
Australia,1995,Lower respiratory infections (%),1.7
Australia,1995,Neonatal deaths (%),0.6
Australia,1995,Diarrheal diseases (%),0.1
Australia,1995,Road incidents (%),1.8
Australia,1995,Liver disease (%),1.1
Austria,1995,Cardiovascular diseases (%),48.6
Austria,1995,Cancers (%),23.3
Austria,1995,Respiratory diseases (%),3.5
Austria,1995,Diabetes (%),3.5
Austria,1995,Dementia (%),6.3
Austria,1995,Lower respiratory infections (%),1.3
Austria,1995,Neonatal deaths (%),0.3
Austria,1995,Diarrheal diseases (%),0
Austria,1995,Road incidents (%),1.4
Austria,1995,Liver disease (%),2.7
Azerbaijan,1995,Cardiovascular diseases (%),42
Azerbaijan,1995,Cancers (%),10.8
Azerbaijan,1995,Respiratory diseases (%),3.8
Azerbaijan,1995,Diabetes (%),3.5
Azerbaijan,1995,Dementia (%),1
Azerbaijan,1995,Lower respiratory infections (%),11.9
Azerbaijan,1995,Neonatal deaths (%),4.9
Azerbaijan,1995,Diarrheal diseases (%),2
Azerbaijan,1995,Road incidents (%),1.8
Azerbaijan,1995,Liver disease (%),3.4
Bahamas,1995,Cardiovascular diseases (%),29.8
Bahamas,1995,Cancers (%),17.2
Bahamas,1995,Respiratory diseases (%),2.1
Bahamas,1995,Diabetes (%),11.1
Bahamas,1995,Dementia (%),1.9
Bahamas,1995,Lower respiratory infections (%),4.4
Bahamas,1995,Neonatal deaths (%),2.9
Bahamas,1995,Diarrheal diseases (%),0.4
Bahamas,1995,Road incidents (%),2.8
Bahamas,1995,Liver disease (%),2.4
Bahrain,1995,Cardiovascular diseases (%),34.7
Bahrain,1995,Cancers (%),11.9
Bahrain,1995,Respiratory diseases (%),4.3
Bahrain,1995,Diabetes (%),15
Bahrain,1995,Dementia (%),2.4
Bahrain,1995,Lower respiratory infections (%),2.5
Bahrain,1995,Neonatal deaths (%),3.5
Bahrain,1995,Diarrheal diseases (%),0.3
Bahrain,1995,Road incidents (%),5.4
Bahrain,1995,Liver disease (%),1.7
Bangladesh,1995,Cardiovascular diseases (%),13.9
Bangladesh,1995,Cancers (%),6.3
Bangladesh,1995,Respiratory diseases (%),7.8
Bangladesh,1995,Diabetes (%),3.6
Bangladesh,1995,Dementia (%),0.8
Bangladesh,1995,Lower respiratory infections (%),10.3
Bangladesh,1995,Neonatal deaths (%),12.7
Bangladesh,1995,Diarrheal diseases (%),9.4
Bangladesh,1995,Road incidents (%),0.9
Bangladesh,1995,Liver disease (%),2.5
Barbados,1995,Cardiovascular diseases (%),38
Barbados,1995,Cancers (%),20.3
Barbados,1995,Respiratory diseases (%),2.4
Barbados,1995,Diabetes (%),14.1
Barbados,1995,Dementia (%),3.8
Barbados,1995,Lower respiratory infections (%),4.5
Barbados,1995,Neonatal deaths (%),1.3
Barbados,1995,Diarrheal diseases (%),0.3
Barbados,1995,Road incidents (%),1.1
Barbados,1995,Liver disease (%),1.4
Belarus,1995,Cardiovascular diseases (%),56.8
Belarus,1995,Cancers (%),16.2
Belarus,1995,Respiratory diseases (%),5.8
Belarus,1995,Diabetes (%),1.6
Belarus,1995,Dementia (%),2.2
