Country,Year,cause,percentage
Afghanistan,2012,Cardiovascular diseases (%),26.4
Afghanistan,2012,Cancers (%),6.2
Afghanistan,2012,Respiratory diseases (%),3.2
Afghanistan,2012,Diabetes (%),6.3
Afghanistan,2012,Dementia (%),0.9
Afghanistan,2012,Lower respiratory infections (%),5.5
Afghanistan,2012,Neonatal deaths (%),7.6
Afghanistan,2012,Diarrheal diseases (%),1.4
Afghanistan,2012,Road incidents (%),4.7
Afghanistan,2012,Liver disease (%),1.3
Albania,2012,Cardiovascular diseases (%),58
Albania,2012,Cancers (%),19.5
Albania,2012,Respiratory diseases (%),3.3
Albania,2012,Diabetes (%),3
Albania,2012,Dementia (%),3.9
Albania,2012,Lower respiratory infections (%),1.8
Albania,2012,Neonatal deaths (%),1
Albania,2012,Diarrheal diseases (%),0
Albania,2012,Road incidents (%),1.2
Albania,2012,Liver disease (%),1.4
Algeria,2012,Cardiovascular diseases (%),38.1
Algeria,2012,Cancers (%),10.5
Algeria,2012,Respiratory diseases (%),3.3
Algeria,2012,Diabetes (%),9.5
Algeria,2012,Dementia (%),6
Algeria,2012,Lower respiratory infections (%),3.8
Algeria,2012,Neonatal deaths (%),6.4
Algeria,2012,Diarrheal diseases (%),0.4
Algeria,2012,Road incidents (%),5.6
Algeria,2012,Liver disease (%),2
Angola,2012,Cardiovascular diseases (%),11.4
Angola,2012,Cancers (%),5.5
Angola,2012,Respiratory diseases (%),1.7
Angola,2012,Diabetes (%),2.5
Angola,2012,Dementia (%),0.8
Angola,2012,Lower respiratory infections (%),9.9
Angola,2012,Neonatal deaths (%),9.8
Angola,2012,Diarrheal diseases (%),11
Angola,2012,Road incidents (%),3.2
Angola,2012,Liver disease (%),2.1
Antigua and Barbuda,2012,Cardiovascular diseases (%),33.5
Antigua and Barbuda,2012,Cancers (%),20
Antigua and Barbuda,2012,Respiratory diseases (%),1.7
Antigua and Barbuda,2012,Diabetes (%),15.3
Antigua and Barbuda,2012,Dementia (%),4.4
Antigua and Barbuda,2012,Lower respiratory infections (%),5.1
Antigua and Barbuda,2012,Neonatal deaths (%),1.3
Antigua and Barbuda,2012,Diarrheal diseases (%),0.3
Antigua and Barbuda,2012,Road incidents (%),1.6
Antigua and Barbuda,2012,Liver disease (%),2.3
Argentina,2012,Cardiovascular diseases (%),33.8
Argentina,2012,Cancers (%),21.5
Argentina,2012,Respiratory diseases (%),6.1
Argentina,2012,Diabetes (%),7.8
Argentina,2012,Dementia (%),4.4
Argentina,2012,Lower respiratory infections (%),8.3
Argentina,2012,Neonatal deaths (%),1.3
Argentina,2012,Diarrheal diseases (%),0.2
Argentina,2012,Road incidents (%),2
Argentina,2012,Liver disease (%),2.2
Armenia,2012,Cardiovascular diseases (%),49
Armenia,2012,Cancers (%),19.7
