Country,Year,cause,percentage
Afghanistan,2011,Cardiovascular diseases (%),26
Afghanistan,2011,Cancers (%),6.1
Afghanistan,2011,Respiratory diseases (%),3.2
Afghanistan,2011,Diabetes (%),6.1
Afghanistan,2011,Dementia (%),0.9
Afghanistan,2011,Lower respiratory infections (%),5.7
Afghanistan,2011,Neonatal deaths (%),7.6
Afghanistan,2011,Diarrheal diseases (%),1.5
Afghanistan,2011,Road incidents (%),4.6
Afghanistan,2011,Liver disease (%),1.3
Albania,2011,Cardiovascular diseases (%),58.2
Albania,2011,Cancers (%),19.4
Albania,2011,Respiratory diseases (%),3.3
Albania,2011,Diabetes (%),3
Albania,2011,Dementia (%),3.8
Albania,2011,Lower respiratory infections (%),1.8
Albania,2011,Neonatal deaths (%),1
Albania,2011,Diarrheal diseases (%),0
Albania,2011,Road incidents (%),1.2
Albania,2011,Liver disease (%),1.4
Algeria,2011,Cardiovascular diseases (%),37.6
Algeria,2011,Cancers (%),10.3
Algeria,2011,Respiratory diseases (%),3.3
Algeria,2011,Diabetes (%),9.3
Algeria,2011,Dementia (%),5.8
Algeria,2011,Lower respiratory infections (%),3.9
Algeria,2011,Neonatal deaths (%),6.9
Algeria,2011,Diarrheal diseases (%),0.5
Algeria,2011,Road incidents (%),5.7
Algeria,2011,Liver disease (%),2
Angola,2011,Cardiovascular diseases (%),11
Angola,2011,Cancers (%),5.3
Angola,2011,Respiratory diseases (%),1.7
Angola,2011,Diabetes (%),2.4
Angola,2011,Dementia (%),0.8
Angola,2011,Lower respiratory infections (%),10.1
Angola,2011,Neonatal deaths (%),9.9
Angola,2011,Diarrheal diseases (%),11.3
Angola,2011,Road incidents (%),3.2
Angola,2011,Liver disease (%),2
Antigua and Barbuda,2011,Cardiovascular diseases (%),33.7
Antigua and Barbuda,2011,Cancers (%),19.6
Antigua and Barbuda,2011,Respiratory diseases (%),1.8
Antigua and Barbuda,2011,Diabetes (%),15.3
Antigua and Barbuda,2011,Dementia (%),4.4
Antigua and Barbuda,2011,Lower respiratory infections (%),5.1
Antigua and Barbuda,2011,Neonatal deaths (%),1.4
Antigua and Barbuda,2011,Diarrheal diseases (%),0.3
Antigua and Barbuda,2011,Road incidents (%),1.5
Antigua and Barbuda,2011,Liver disease (%),2.3
Argentina,2011,Cardiovascular diseases (%),34
Argentina,2011,Cancers (%),21.5
Argentina,2011,Respiratory diseases (%),6.2
Argentina,2011,Diabetes (%),7.8
Argentina,2011,Dementia (%),4.3
Argentina,2011,Lower respiratory infections (%),8.3
Argentina,2011,Neonatal deaths (%),1.3
Argentina,2011,Diarrheal diseases (%),0.2
Argentina,2011,Road incidents (%),2
Argentina,2011,Liver disease (%),2.2
Armenia,2011,Cardiovascular diseases (%),49.2
Armenia,2011,Cancers (%),19.6
Armenia,2011,Respiratory diseases (%),4.5
Armenia,2011,Diabetes (%),8.1
Armenia,2011,Dementia (%),3.1
Armenia,2011,Lower respiratory infections (%),1.7
Armenia,2011,Neonatal deaths (%),0.9
Armenia,2011,Diarrheal diseases (%),0.1
Armenia,2011,Road incidents (%),1.1
Armenia,2011,Liver disease (%),3.7
Australia,2011,Cardiovascular diseases (%),32.1
Australia,2011,Cancers (%),29.4
Australia,2011,Respiratory diseases (%),6.1
Australia,2011,Diabetes (%),6.7
Australia,2011,Dementia (%),8.7
Australia,2011,Lower respiratory infections (%),2.5
Australia,2011,Neonatal deaths (%),0.4
Australia,2011,Diarrheal diseases (%),0.1
Australia,2011,Road incidents (%),1.1
Australia,2011,Liver disease (%),1.3
Austria,2011,Cardiovascular diseases (%),40
Austria,2011,Cancers (%),25.5
Austria,2011,Respiratory diseases (%),4.1
Austria,2011,Diabetes (%),7.2
Austria,2011,Dementia (%),9.3
Austria,2011,Lower respiratory infections (%),1
Austria,2011,Neonatal deaths (%),0.2
Austria,2011,Diarrheal diseases (%),0.1
Austria,2011,Road incidents (%),0.7
Austria,2011,Liver disease (%),2.4
Azerbaijan,2011,Cardiovascular diseases (%),51.7
Azerbaijan,2011,Cancers (%),12.7
Azerbaijan,2011,Respiratory diseases (%),3.2
Azerbaijan,2011,Diabetes (%),5.1
Azerbaijan,2011,Dementia (%),1.7
Azerbaijan,2011,Lower respiratory infections (%),5.1
Azerbaijan,2011,Neonatal deaths (%),4.1
Azerbaijan,2011,Diarrheal diseases (%),0.4
Azerbaijan,2011,Road incidents (%),1.1
Azerbaijan,2011,Liver disease (%),4.7
Bahamas,2011,Cardiovascular diseases (%),33
Bahamas,2011,Cancers (%),20
Bahamas,2011,Respiratory diseases (%),1.9
Bahamas,2011,Diabetes (%),11.8
Bahamas,2011,Dementia (%),2.8
Bahamas,2011,Lower respiratory infections (%),4.2
Bahamas,2011,Neonatal deaths (%),1.3
Bahamas,2011,Diarrheal diseases (%),0.2
Bahamas,2011,Road incidents (%),2.6
Bahamas,2011,Liver disease (%),2.3
Bahrain,2011,Cardiovascular diseases (%),27.7
Bahrain,2011,Cancers (%),15.2
Bahrain,2011,Respiratory diseases (%),3.5
Bahrain,2011,Diabetes (%),21.5
Bahrain,2011,Dementia (%),3.2
Bahrain,2011,Lower respiratory infections (%),2.6
Bahrain,2011,Neonatal deaths (%),1.6
Bahrain,2011,Diarrheal diseases (%),0.3
Bahrain,2011,Road incidents (%),4.8
Bahrain,2011,Liver disease (%),2
Bangladesh,2011,Cardiovascular diseases (%),31
Bangladesh,2011,Cancers (%),9.1
Bangladesh,2011,Respiratory diseases (%),8.9
Bangladesh,2011,Diabetes (%),5.9
Bangladesh,2011,Dementia (%),1.7
Bangladesh,2011,Lower respiratory infections (%),5.4
Bangladesh,2011,Neonatal deaths (%),8.5
Bangladesh,2011,Diarrheal diseases (%),4.1
Bangladesh,2011,Road incidents (%),2.2
Bangladesh,2011,Liver disease (%),2.9
Barbados,2011,Cardiovascular diseases (%),29.8
Barbados,2011,Cancers (%),23.5
Barbados,2011,Respiratory diseases (%),2
Barbados,2011,Diabetes (%),15.7
Barbados,2011,Dementia (%),5.2
Barbados,2011,Lower respiratory infections (%),6.4
Barbados,2011,Neonatal deaths (%),1.1
Barbados,2011,Diarrheal diseases (%),0.2
Barbados,2011,Road incidents (%),1.4
Barbados,2011,Liver disease (%),1.6
Belarus,2011,Cardiovascular diseases (%),61.9
Belarus,2011,Cancers (%),14.8
Belarus,2011,Respiratory diseases (%),2
Belarus,2011,Diabetes (%),1.3
Belarus,2011,Dementia (%),2.6
Belarus,2011,Lower respiratory infections (%),0.8
Belarus,2011,Neonatal deaths (%),0.2
Belarus,2011,Diarrheal diseases (%),0
Belarus,2011,Road incidents (%),1.5
Belarus,2011,Liver disease (%),2.4
Belgium,2011,Cardiovascular diseases (%),30.4
Belgium,2011,Cancers (%),27.8
Belgium,2011,Respiratory diseases (%),6.3
Belgium,2011,Diabetes (%),4.9
Belgium,2011,Dementia (%),10.3
Belgium,2011,Lower respiratory infections (%),4.5
Belgium,2011,Neonatal deaths (%),0.2
Belgium,2011,Diarrheal diseases (%),0.6
Belgium,2011,Road incidents (%),1.1
Belgium,2011,Liver disease (%),1.8
Belize,2011,Cardiovascular diseases (%),24.6
Belize,2011,Cancers (%),14
Belize,2011,Respiratory diseases (%),3.3
Belize,2011,Diabetes (%),14.1
Belize,2011,Dementia (%),2
Belize,2011,Lower respiratory infections (%),6
Belize,2011,Neonatal deaths (%),4.3
Belize,2011,Diarrheal diseases (%),0.6
Belize,2011,Road incidents (%),3.9
Belize,2011,Liver disease (%),3
Benin,2011,Cardiovascular diseases (%),11.6
Benin,2011,Cancers (%),6.3
Benin,2011,Respiratory diseases (%),2.1
Benin,2011,Diabetes (%),4.3
Benin,2011,Dementia (%),0.7
Benin,2011,Lower respiratory infections (%),9.7
Benin,2011,Neonatal deaths (%),10.7
Benin,2011,Diarrheal diseases (%),12.3
Benin,2011,Road incidents (%),1.9
Benin,2011,Liver disease (%),2.2
Bhutan,2011,Cardiovascular diseases (%),25.4
Bhutan,2011,Cancers (%),8.8
Bhutan,2011,Respiratory diseases (%),9
Bhutan,2011,Diabetes (%),7.2
Bhutan,2011,Dementia (%),2
Bhutan,2011,Lower respiratory infections (%),7.2
Bhutan,2011,Neonatal deaths (%),9.9
Bhutan,2011,Diarrheal diseases (%),2.5
Bhutan,2011,Road incidents (%),2.3
Bhutan,2011,Liver disease (%),2.8
Bolivia,2011,Cardiovascular diseases (%),21.6
Bolivia,2011,Cancers (%),15.5
Bolivia,2011,Respiratory diseases (%),4.6
Bolivia,2011,Diabetes (%),8.8
Bolivia,2011,Dementia (%),2.8
Bolivia,2011,Lower respiratory infections (%),10.9
Bolivia,2011,Neonatal deaths (%),6.3
Bolivia,2011,Diarrheal diseases (%),1.6
Bolivia,2011,Road incidents (%),3.3
