Country,Year,cause,percentage
Afghanistan,2002,Cardiovascular diseases (%),22.3
Afghanistan,2002,Cancers (%),4.9
Afghanistan,2002,Respiratory diseases (%),2.7
Afghanistan,2002,Diabetes (%),4.7
Afghanistan,2002,Dementia (%),0.6
Afghanistan,2002,Lower respiratory infections (%),8.7
Afghanistan,2002,Neonatal deaths (%),8.8
Afghanistan,2002,Diarrheal diseases (%),3.5
Afghanistan,2002,Road incidents (%),4.2
Afghanistan,2002,Liver disease (%),1
Albania,2002,Cardiovascular diseases (%),52.4
Albania,2002,Cancers (%),18.4
Albania,2002,Respiratory diseases (%),3.8
Albania,2002,Diabetes (%),3.3
Albania,2002,Dementia (%),3
Albania,2002,Lower respiratory infections (%),3.7
Albania,2002,Neonatal deaths (%),2
Albania,2002,Diarrheal diseases (%),0.1
Albania,2002,Road incidents (%),1.7
Albania,2002,Liver disease (%),1.3
Algeria,2002,Cardiovascular diseases (%),34.1
Algeria,2002,Cancers (%),8.5
Algeria,2002,Respiratory diseases (%),3.1
Algeria,2002,Diabetes (%),6.9
Algeria,2002,Dementia (%),4.1
Algeria,2002,Lower respiratory infections (%),4.4
Algeria,2002,Neonatal deaths (%),10.8
Algeria,2002,Diarrheal diseases (%),0.7
Algeria,2002,Road incidents (%),6.6
Algeria,2002,Liver disease (%),1.7
Angola,2002,Cardiovascular diseases (%),8.9
Angola,2002,Cancers (%),3.6
Angola,2002,Respiratory diseases (%),1.4
Angola,2002,Diabetes (%),1.6
Angola,2002,Dementia (%),0.5
Angola,2002,Lower respiratory infections (%),9.2
Angola,2002,Neonatal deaths (%),8.4
Angola,2002,Diarrheal diseases (%),20.5
Angola,2002,Road incidents (%),2.4
Angola,2002,Liver disease (%),1.4
Antigua and Barbuda,2002,Cardiovascular diseases (%),34.4
Antigua and Barbuda,2002,Cancers (%),18.4
Antigua and Barbuda,2002,Respiratory diseases (%),2
Antigua and Barbuda,2002,Diabetes (%),14.5
Antigua and Barbuda,2002,Dementia (%),4.2
Antigua and Barbuda,2002,Lower respiratory infections (%),5
Antigua and Barbuda,2002,Neonatal deaths (%),2.2
Antigua and Barbuda,2002,Diarrheal diseases (%),0.3
Antigua and Barbuda,2002,Road incidents (%),1.4
Antigua and Barbuda,2002,Liver disease (%),2.1
Argentina,2002,Cardiovascular diseases (%),35.5
Argentina,2002,Cancers (%),21.5
Argentina,2002,Respiratory diseases (%),6
Argentina,2002,Diabetes (%),7.6
Argentina,2002,Dementia (%),3.6
Argentina,2002,Lower respiratory infections (%),6.4
Argentina,2002,Neonatal deaths (%),2
Argentina,2002,Diarrheal diseases (%),0.3
Argentina,2002,Road incidents (%),1.9
Argentina,2002,Liver disease (%),2
Armenia,2002,Cardiovascular diseases (%),51.9
Armenia,2002,Cancers (%),18.3
Armenia,2002,Respiratory diseases (%),5
Armenia,2002,Diabetes (%),6.6
Armenia,2002,Dementia (%),2.4
Armenia,2002,Lower respiratory infections (%),1.7
Armenia,2002,Neonatal deaths (%),1.7
Armenia,2002,Diarrheal diseases (%),0.3
Armenia,2002,Road incidents (%),1.4
Armenia,2002,Liver disease (%),2.3
Australia,2002,Cardiovascular diseases (%),37
Australia,2002,Cancers (%),27.8
Australia,2002,Respiratory diseases (%),6
Australia,2002,Diabetes (%),5.9
Australia,2002,Dementia (%),7
Australia,2002,Lower respiratory infections (%),2.3
Australia,2002,Neonatal deaths (%),0.5
Australia,2002,Diarrheal diseases (%),0.1
Australia,2002,Road incidents (%),1.5
Australia,2002,Liver disease (%),1.2
Austria,2002,Cardiovascular diseases (%),44.8
Austria,2002,Cancers (%),24.5
Austria,2002,Respiratory diseases (%),4.1
Austria,2002,Diabetes (%),4.7
Austria,2002,Dementia (%),7.6
Austria,2002,Lower respiratory infections (%),1.2
Austria,2002,Neonatal deaths (%),0.2
Austria,2002,Diarrheal diseases (%),0
Austria,2002,Road incidents (%),1.1
Austria,2002,Liver disease (%),2.7
Azerbaijan,2002,Cardiovascular diseases (%),49.4
Azerbaijan,2002,Cancers (%),12
Azerbaijan,2002,Respiratory diseases (%),3.2
Azerbaijan,2002,Diabetes (%),4.8
Azerbaijan,2002,Dementia (%),1.3
Azerbaijan,2002,Lower respiratory infections (%),6.9
Azerbaijan,2002,Neonatal deaths (%),4
Azerbaijan,2002,Diarrheal diseases (%),0.9
Azerbaijan,2002,Road incidents (%),1.2
Azerbaijan,2002,Liver disease (%),4.3
Bahamas,2002,Cardiovascular diseases (%),31.1
Bahamas,2002,Cancers (%),18.1
Bahamas,2002,Respiratory diseases (%),1.8
Bahamas,2002,Diabetes (%),10.6
Bahamas,2002,Dementia (%),2.3
Bahamas,2002,Lower respiratory infections (%),4
Bahamas,2002,Neonatal deaths (%),1.7
Bahamas,2002,Diarrheal diseases (%),0.2
Bahamas,2002,Road incidents (%),3
Bahamas,2002,Liver disease (%),2.3
Bahrain,2002,Cardiovascular diseases (%),32.6
Bahrain,2002,Cancers (%),13.4
Bahrain,2002,Respiratory diseases (%),4.3
Bahrain,2002,Diabetes (%),18.2
Bahrain,2002,Dementia (%),2.8
Bahrain,2002,Lower respiratory infections (%),2.4
Bahrain,2002,Neonatal deaths (%),1.9
Bahrain,2002,Diarrheal diseases (%),0.3
Bahrain,2002,Road incidents (%),5.4
Bahrain,2002,Liver disease (%),1.8
Bangladesh,2002,Cardiovascular diseases (%),21.6
Bangladesh,2002,Cancers (%),7.4
Bangladesh,2002,Respiratory diseases (%),8.2
Bangladesh,2002,Diabetes (%),4.7
Bangladesh,2002,Dementia (%),1.2
Bangladesh,2002,Lower respiratory infections (%),8.6
Bangladesh,2002,Neonatal deaths (%),11.6
Bangladesh,2002,Diarrheal diseases (%),5.9
Bangladesh,2002,Road incidents (%),1.4
Bangladesh,2002,Liver disease (%),2.8
Barbados,2002,Cardiovascular diseases (%),31.5
Barbados,2002,Cancers (%),22.1
Barbados,2002,Respiratory diseases (%),2.2
Barbados,2002,Diabetes (%),15
Barbados,2002,Dementia (%),4.8
Barbados,2002,Lower respiratory infections (%),5.9
Barbados,2002,Neonatal deaths (%),1.3
Barbados,2002,Diarrheal diseases (%),0.2
Barbados,2002,Road incidents (%),1.4
Barbados,2002,Liver disease (%),1.5
Belarus,2002,Cardiovascular diseases (%),59.9
Belarus,2002,Cancers (%),14.9
Belarus,2002,Respiratory diseases (%),4.1
Belarus,2002,Diabetes (%),1.5
Belarus,2002,Dementia (%),2
Belarus,2002,Lower respiratory infections (%),0.9
Belarus,2002,Neonatal deaths (%),0.3
Belarus,2002,Diarrheal diseases (%),0
Belarus,2002,Road incidents (%),1.8
Belarus,2002,Liver disease (%),1.5
Belgium,2002,Cardiovascular diseases (%),34.4
Belgium,2002,Cancers (%),26.5
Belgium,2002,Respiratory diseases (%),6.7
Belgium,2002,Diabetes (%),4.2
Belgium,2002,Dementia (%),8.6
Belgium,2002,Lower respiratory infections (%),4.5
Belgium,2002,Neonatal deaths (%),0.2
Belgium,2002,Diarrheal diseases (%),0.3
Belgium,2002,Road incidents (%),1.5
Belgium,2002,Liver disease (%),1.7
Belize,2002,Cardiovascular diseases (%),25.4
Belize,2002,Cancers (%),12.5
Belize,2002,Respiratory diseases (%),3.4
Belize,2002,Diabetes (%),11.4
Belize,2002,Dementia (%),1.9
Belize,2002,Lower respiratory infections (%),6.7
Belize,2002,Neonatal deaths (%),6.4
Belize,2002,Diarrheal diseases (%),0.9
Belize,2002,Road incidents (%),4.2
Belize,2002,Liver disease (%),2.6
Benin,2002,Cardiovascular diseases (%),9.6
Benin,2002,Cancers (%),4.9
Benin,2002,Respiratory diseases (%),1.7
Benin,2002,Diabetes (%),3.7
Benin,2002,Dementia (%),0.6
Benin,2002,Lower respiratory infections (%),11.5
Benin,2002,Neonatal deaths (%),10.6
Benin,2002,Diarrheal diseases (%),10.2
Benin,2002,Road incidents (%),1.8
Benin,2002,Liver disease (%),1.9
Bhutan,2002,Cardiovascular diseases (%),17.9
Bhutan,2002,Cancers (%),6.3
Bhutan,2002,Respiratory diseases (%),7.7
Bhutan,2002,Diabetes (%),4.8
Bhutan,2002,Dementia (%),1.1
Bhutan,2002,Lower respiratory infections (%),11
Bhutan,2002,Neonatal deaths (%),15.5
Bhutan,2002,Diarrheal diseases (%),4.2
Bhutan,2002,Road incidents (%),2.1
Bhutan,2002,Liver disease (%),2.2
Bolivia,2002,Cardiovascular diseases (%),18.5
Bolivia,2002,Cancers (%),12.8
Bolivia,2002,Respiratory diseases (%),3.8
Bolivia,2002,Diabetes (%),6.8
Bolivia,2002,Dementia (%),1.8
Bolivia,2002,Lower respiratory infections (%),13
Bolivia,2002,Neonatal deaths (%),8.5
Bolivia,2002,Diarrheal diseases (%),3.4
Bolivia,2002,Road incidents (%),3.6
Bolivia,2002,Liver disease (%),2.5
Bosnia and Herzegovina,2002,Cardiovascular diseases (%),51.6
Bosnia and Herzegovina,2002,Cancers (%),23.2
Bosnia and Herzegovina,2002,Respiratory diseases (%),3.8
Bosnia and Herzegovina,2002,Diabetes (%),5.9
Bosnia and Herzegovina,2002,Dementia (%),2.8
Bosnia and Herzegovina,2002,Lower respiratory infections (%),1.1
Bosnia and Herzegovina,2002,Neonatal deaths (%),0.5
Bosnia and Herzegovina,2002,Diarrheal diseases (%),0
Bosnia and Herzegovina,2002,Road incidents (%),0.9
Bosnia and Herzegovina,2002,Liver disease (%),2
Botswana,2002,Cardiovascular diseases (%),8.4
Botswana,2002,Cancers (%),3.8
Botswana,2002,Respiratory diseases (%),1.9
Botswana,2002,Diabetes (%),3.4
Botswana,2002,Dementia (%),0.3
Botswana,2002,Lower respiratory infections (%),3.4
Botswana,2002,Neonatal deaths (%),2.2
Botswana,2002,Diarrheal diseases (%),2.2
Botswana,2002,Road incidents (%),1.3
Botswana,2002,Liver disease (%),0.5
Brazil,2002,Cardiovascular diseases (%),29.8
Brazil,2002,Cancers (%),15.5
Brazil,2002,Respiratory diseases (%),6
Brazil,2002,Diabetes (%),7
Brazil,2002,Dementia (%),3.6
Brazil,2002,Lower respiratory infections (%),4.7
Brazil,2002,Neonatal deaths (%),4
Brazil,2002,Diarrheal diseases (%),1.2
Brazil,2002,Road incidents (%),4.3
Brazil,2002,Liver disease (%),2.8
Brunei,2002,Cardiovascular diseases (%),27.9
Brunei,2002,Cancers (%),20.5
Brunei,2002,Respiratory diseases (%),6.2
Brunei,2002,Diabetes (%),13.7
Brunei,2002,Dementia (%),3.1
Brunei,2002,Lower respiratory infections (%),3.4
Brunei,2002,Neonatal deaths (%),2.2
Brunei,2002,Diarrheal diseases (%),0.1
Brunei,2002,Road incidents (%),5.4
Brunei,2002,Liver disease (%),1.1
Bulgaria,2002,Cardiovascular diseases (%),65.6
Bulgaria,2002,Cancers (%),14.9
Bulgaria,2002,Respiratory diseases (%),2.9
Bulgaria,2002,Diabetes (%),3.4
Bulgaria,2002,Dementia (%),2.6
Bulgaria,2002,Lower respiratory infections (%),1.8
Bulgaria,2002,Neonatal deaths (%),0.3
Bulgaria,2002,Diarrheal diseases (%),0
Bulgaria,2002,Road incidents (%),0.9
Bulgaria,2002,Liver disease (%),1.6
Burkina Faso,2002,Cardiovascular diseases (%),7.1
Burkina Faso,2002,Cancers (%),3.5
Burkina Faso,2002,Respiratory diseases (%),0.9
Burkina Faso,2002,Diabetes (%),3
Burkina Faso,2002,Dementia (%),0.4
Burkina Faso,2002,Lower respiratory infections (%),10.8
Burkina Faso,2002,Neonatal deaths (%),7.4
Burkina Faso,2002,Diarrheal diseases (%),10.9
