Country,Year,cause,percentage
Afghanistan,1999,Cardiovascular diseases (%),21.1
Afghanistan,1999,Cancers (%),4.6
Afghanistan,1999,Respiratory diseases (%),2.6
Afghanistan,1999,Diabetes (%),4.3
Afghanistan,1999,Dementia (%),0.6
Afghanistan,1999,Lower respiratory infections (%),8.9
Afghanistan,1999,Neonatal deaths (%),8.4
Afghanistan,1999,Diarrheal diseases (%),3.6
Afghanistan,1999,Road incidents (%),4
Afghanistan,1999,Liver disease (%),1
Albania,1999,Cardiovascular diseases (%),48.2
Albania,1999,Cancers (%),17.7
Albania,1999,Respiratory diseases (%),4.1
Albania,1999,Diabetes (%),3.2
Albania,1999,Dementia (%),2.9
Albania,1999,Lower respiratory infections (%),5.5
Albania,1999,Neonatal deaths (%),2.6
Albania,1999,Diarrheal diseases (%),0.2
Albania,1999,Road incidents (%),1.6
Albania,1999,Liver disease (%),1.3
Algeria,1999,Cardiovascular diseases (%),32.9
Algeria,1999,Cancers (%),8.1
Algeria,1999,Respiratory diseases (%),3
Algeria,1999,Diabetes (%),6.4
Algeria,1999,Dementia (%),3.6
Algeria,1999,Lower respiratory infections (%),4.6
Algeria,1999,Neonatal deaths (%),11.6
Algeria,1999,Diarrheal diseases (%),0.8
Algeria,1999,Road incidents (%),6.9
Algeria,1999,Liver disease (%),1.6
Angola,1999,Cardiovascular diseases (%),8.7
Angola,1999,Cancers (%),3.4
Angola,1999,Respiratory diseases (%),1.4
Angola,1999,Diabetes (%),1.5
Angola,1999,Dementia (%),0.4
Angola,1999,Lower respiratory infections (%),9
Angola,1999,Neonatal deaths (%),7.7
Angola,1999,Diarrheal diseases (%),23.3
Angola,1999,Road incidents (%),2.3
Angola,1999,Liver disease (%),1.3
Antigua and Barbuda,1999,Cardiovascular diseases (%),36.1
Antigua and Barbuda,1999,Cancers (%),18.2
Antigua and Barbuda,1999,Respiratory diseases (%),2
Antigua and Barbuda,1999,Diabetes (%),14.1
Antigua and Barbuda,1999,Dementia (%),3.9
Antigua and Barbuda,1999,Lower respiratory infections (%),5
Antigua and Barbuda,1999,Neonatal deaths (%),2.5
Antigua and Barbuda,1999,Diarrheal diseases (%),0.4
Antigua and Barbuda,1999,Road incidents (%),1.4
Antigua and Barbuda,1999,Liver disease (%),2.1
Argentina,1999,Cardiovascular diseases (%),36.5
Argentina,1999,Cancers (%),21.3
Argentina,1999,Respiratory diseases (%),5.9
Argentina,1999,Diabetes (%),7.3
Argentina,1999,Dementia (%),3.4
Argentina,1999,Lower respiratory infections (%),5.4
Argentina,1999,Neonatal deaths (%),2.3
Argentina,1999,Diarrheal diseases (%),0.3
Argentina,1999,Road incidents (%),2
Argentina,1999,Liver disease (%),2
Armenia,1999,Cardiovascular diseases (%),52.6
Armenia,1999,Cancers (%),17.4
Armenia,1999,Respiratory diseases (%),4.9
Armenia,1999,Diabetes (%),6
Armenia,1999,Dementia (%),2.2
Armenia,1999,Lower respiratory infections (%),1.9
Armenia,1999,Neonatal deaths (%),1.9
Armenia,1999,Diarrheal diseases (%),0.5
Armenia,1999,Road incidents (%),1.5
Armenia,1999,Liver disease (%),1.9
Australia,1999,Cardiovascular diseases (%),38.6
Australia,1999,Cancers (%),27.3
Australia,1999,Respiratory diseases (%),6
Australia,1999,Diabetes (%),5.4
Australia,1999,Dementia (%),6.3
Australia,1999,Lower respiratory infections (%),2
Australia,1999,Neonatal deaths (%),0.5
Australia,1999,Diarrheal diseases (%),0.1
Australia,1999,Road incidents (%),1.6
Australia,1999,Liver disease (%),1.1
Austria,1999,Cardiovascular diseases (%),47.6
Austria,1999,Cancers (%),23.9
Austria,1999,Respiratory diseases (%),3.8
Austria,1999,Diabetes (%),3.7
Austria,1999,Dementia (%),7
Austria,1999,Lower respiratory infections (%),1.2
Austria,1999,Neonatal deaths (%),0.2
Austria,1999,Diarrheal diseases (%),0
Austria,1999,Road incidents (%),1.2
Austria,1999,Liver disease (%),2.6
Azerbaijan,1999,Cardiovascular diseases (%),46.9
Azerbaijan,1999,Cancers (%),11.4
Azerbaijan,1999,Respiratory diseases (%),3.7
Azerbaijan,1999,Diabetes (%),4.2
Azerbaijan,1999,Dementia (%),1.2
Azerbaijan,1999,Lower respiratory infections (%),9
Azerbaijan,1999,Neonatal deaths (%),4.2
Azerbaijan,1999,Diarrheal diseases (%),1.3
Azerbaijan,1999,Road incidents (%),1.3
Azerbaijan,1999,Liver disease (%),4
Bahamas,1999,Cardiovascular diseases (%),30
Bahamas,1999,Cancers (%),17.4
Bahamas,1999,Respiratory diseases (%),1.9
Bahamas,1999,Diabetes (%),10.7
Bahamas,1999,Dementia (%),2.1
Bahamas,1999,Lower respiratory infections (%),4
Bahamas,1999,Neonatal deaths (%),1.8
Bahamas,1999,Diarrheal diseases (%),0.3
Bahamas,1999,Road incidents (%),2.7
Bahamas,1999,Liver disease (%),2.3
Bahrain,1999,Cardiovascular diseases (%),34.5
Bahrain,1999,Cancers (%),12.8
Bahrain,1999,Respiratory diseases (%),4.4
Bahrain,1999,Diabetes (%),16.9
Bahrain,1999,Dementia (%),2.6
Bahrain,1999,Lower respiratory infections (%),2.3
Bahrain,1999,Neonatal deaths (%),2.4
Bahrain,1999,Diarrheal diseases (%),0.3
Bahrain,1999,Road incidents (%),5.1
Bahrain,1999,Liver disease (%),1.8
Bangladesh,1999,Cardiovascular diseases (%),17.4
Bangladesh,1999,Cancers (%),7.1
Bangladesh,1999,Respiratory diseases (%),8
Bangladesh,1999,Diabetes (%),4.3
Bangladesh,1999,Dementia (%),1
Bangladesh,1999,Lower respiratory infections (%),9.7
Bangladesh,1999,Neonatal deaths (%),12.4
Bangladesh,1999,Diarrheal diseases (%),7
Bangladesh,1999,Road incidents (%),1.1
Bangladesh,1999,Liver disease (%),2.6
Barbados,1999,Cardiovascular diseases (%),33.7
Barbados,1999,Cancers (%),21.6
Barbados,1999,Respiratory diseases (%),2.3
Barbados,1999,Diabetes (%),14.6
Barbados,1999,Dementia (%),4.5
Barbados,1999,Lower respiratory infections (%),5.3
Barbados,1999,Neonatal deaths (%),1.3
Barbados,1999,Diarrheal diseases (%),0.2
Barbados,1999,Road incidents (%),1.3
Barbados,1999,Liver disease (%),1.4
Belarus,1999,Cardiovascular diseases (%),58.2
Belarus,1999,Cancers (%),15.5
Belarus,1999,Respiratory diseases (%),5
Belarus,1999,Diabetes (%),1.5
Belarus,1999,Dementia (%),2
Belarus,1999,Lower respiratory infections (%),0.9
Belarus,1999,Neonatal deaths (%),0.4
Belarus,1999,Diarrheal diseases (%),0
Belarus,1999,Road incidents (%),1.8
Belarus,1999,Liver disease (%),1.1
Belgium,1999,Cardiovascular diseases (%),35.5
Belgium,1999,Cancers (%),26.3
Belgium,1999,Respiratory diseases (%),6.8
Belgium,1999,Diabetes (%),4.2
Belgium,1999,Dementia (%),8.3
Belgium,1999,Lower respiratory infections (%),4
Belgium,1999,Neonatal deaths (%),0.3
Belgium,1999,Diarrheal diseases (%),0.2
Belgium,1999,Road incidents (%),1.7
Belgium,1999,Liver disease (%),1.7
Belize,1999,Cardiovascular diseases (%),27.5
Belize,1999,Cancers (%),12.4
Belize,1999,Respiratory diseases (%),3.5
Belize,1999,Diabetes (%),10.8
Belize,1999,Dementia (%),2.1
Belize,1999,Lower respiratory infections (%),7.1
Belize,1999,Neonatal deaths (%),6.5
