Country,Year,cause,percentage
Afghanistan,1997,Cardiovascular diseases (%),20.4
Afghanistan,1997,Cancers (%),4.4
Afghanistan,1997,Respiratory diseases (%),2.5
Afghanistan,1997,Diabetes (%),4.2
Afghanistan,1997,Dementia (%),0.6
Afghanistan,1997,Lower respiratory infections (%),9.3
Afghanistan,1997,Neonatal deaths (%),8.3
Afghanistan,1997,Diarrheal diseases (%),3.5
Afghanistan,1997,Road incidents (%),4
Afghanistan,1997,Liver disease (%),1
Albania,1997,Cardiovascular diseases (%),40.9
Albania,1997,Cancers (%),15.1
Albania,1997,Respiratory diseases (%),3.8
Albania,1997,Diabetes (%),2.8
Albania,1997,Dementia (%),2.5
Albania,1997,Lower respiratory infections (%),6.6
Albania,1997,Neonatal deaths (%),2.5
Albania,1997,Diarrheal diseases (%),0.2
Albania,1997,Road incidents (%),1.5
Albania,1997,Liver disease (%),1.2
Algeria,1997,Cardiovascular diseases (%),31.7
Algeria,1997,Cancers (%),8.1
Algeria,1997,Respiratory diseases (%),2.9
Algeria,1997,Diabetes (%),6.1
Algeria,1997,Dementia (%),3.3
Algeria,1997,Lower respiratory infections (%),4.8
Algeria,1997,Neonatal deaths (%),11.9
Algeria,1997,Diarrheal diseases (%),0.8
Algeria,1997,Road incidents (%),6.9
Algeria,1997,Liver disease (%),1.5
Angola,1997,Cardiovascular diseases (%),8.6
Angola,1997,Cancers (%),3.3
Angola,1997,Respiratory diseases (%),1.4
Angola,1997,Diabetes (%),1.4
Angola,1997,Dementia (%),0.4
Angola,1997,Lower respiratory infections (%),8.8
Angola,1997,Neonatal deaths (%),7.6
Angola,1997,Diarrheal diseases (%),24.4
Angola,1997,Road incidents (%),2.1
Angola,1997,Liver disease (%),1.3
Antigua and Barbuda,1997,Cardiovascular diseases (%),38.1
Antigua and Barbuda,1997,Cancers (%),18.2
Antigua and Barbuda,1997,Respiratory diseases (%),2
Antigua and Barbuda,1997,Diabetes (%),13.5
Antigua and Barbuda,1997,Dementia (%),3.8
Antigua and Barbuda,1997,Lower respiratory infections (%),5
Antigua and Barbuda,1997,Neonatal deaths (%),2.4
Antigua and Barbuda,1997,Diarrheal diseases (%),0.5
Antigua and Barbuda,1997,Road incidents (%),1.3
Antigua and Barbuda,1997,Liver disease (%),2
Argentina,1997,Cardiovascular diseases (%),37.2
Argentina,1997,Cancers (%),21.4
Argentina,1997,Respiratory diseases (%),5.6
Argentina,1997,Diabetes (%),7.1
Argentina,1997,Dementia (%),3.2
Argentina,1997,Lower respiratory infections (%),4.7
Argentina,1997,Neonatal deaths (%),2.6
