name	year_span	population	id
Rwanda	1990 - 1995	43.60	RWA
Sierra Leone	1990 - 1995	27.50	SLE
Angola	1990 - 1995	22.30	AGO
Niger	1990 - 1995	21.70	NER
Mozambique	1990 - 1995	20.30	MOZ
Somalia	1990 - 1995	20.00	SOM
Mali	1990 - 1995	19.90	MLI
Chad	1990 - 1995	18.80	TCD
Uganda	1990 - 1995	18.60	UGA
Zambia	1990 - 1995	18.60	ZMB
Nigeria	1990 - 1995	18.50	NGA
Burundi	1990 - 1995	18.30	BDI
Malawi	1990 - 1995	18.00	MWI
Liberia	1990 - 1995	17.60	LBR
Central African Republic	1990 - 1995	17.50	CAF
Ethiopia	1990 - 1995	17.30	ETH
Burkina Faso	1990 - 1995	16.90	BFA
Democratic Republic of Congo	1990 - 1995	16.30	COD
Guinea-Bissau	1990 - 1995	16.30	GNB
Guinea	1990 - 1995	16.10	GIN
Cameroon	1990 - 1995	15.10	CMR
Eritrea	1990 - 1995	15.10	ERI
Tanzania	1990 - 1995	15.10	TZA
Timor	1990 - 1995	14.60	TLS
Latvia	1990 - 1995	14.40	LVA
Afghanistan	1990 - 1995	14.30	AFG
Côte d'Ivoire	1990 - 1995	14.20	CIV
Hungary	1990 - 1995	14.20	HUN
Madagascar	1990 - 1995	14.10	MDG
Estonia	1990 - 1995	13.90	EST
Gambia	1990 - 1995	13.80	GMB
Benin	1990 - 1995	13.70	BEN
Ukraine	1990 - 1995	13.60	UKR
Russia	1990 - 1995	13.30	RUS
Bulgaria	1990 - 1995	13.00	BGR
Laos	1990 - 1995	12.80	LAO
Congo	1990 - 1995	12.40	COG
Haiti	1990 - 1995	12.40	HTI
Belarus	1990 - 1995	12.30	BLR
Bolivia	1990 - 1995	12.10	BOL
Cambodia	1990 - 1995	12.10	KHM
Togo	1990 - 1995	11.90	TGO
Bhutan	1990 - 1995	11.80	BTN
Czech Republic	1990 - 1995	11.80	CZE
Denmark	1990 - 1995	11.80	DNK
Lithuania	1990 - 1995	11.80	LTU
Sudan	1990 - 1995	11.80	SDN
Nepal	1990 - 1995	11.60	NPL
Romania	1990 - 1995	11.40	ROU
Croatia	1990 - 1995	11.20	HRV
Germany	1990 - 1995	11.20	DEU
United Kingdom	1990 - 1995	11.20	GBR
Senegal	1990 - 1995	11.10	SEN
Djibouti	1990 - 1995	11.00	DJI
Gabon	1990 - 1995	11.00	GAB
Sweden	1990 - 1995	11.00	SWE
Yemen	1990 - 1995	10.90	YEM
Zimbabwe	1990 - 1995	10.90	ZWE
Kenya	1990 - 1995	10.80	KEN
Moldova	1990 - 1995	10.80	MDA
Comoros	1990 - 1995	10.70	COM
Austria	1990 - 1995	10.60	AUT
Belgium	1990 - 1995	10.50	BEL
Norway	1990 - 1995	10.50	NOR
Ghana	1990 - 1995	10.30	GHA
Mauritania	1990 - 1995	10.30	MRT
India	1990 - 1995	10.20	IND
Pakistan	1990 - 1995	10.20	PAK
Poland	1990 - 1995	10.20	POL
Portugal	1990 - 1995	10.20	PRT
Lesotho	1990 - 1995	10.10	LSO
Slovakia	1990 - 1995	10.10	SVK
Serbia	1990 - 1995	10.00	SRB
Solomon Islands	1990 - 1995	10.00	SLB
Finland	1990 - 1995	9.90	FIN
Luxembourg	1990 - 1995	9.90	LUX
Myanmar	1990 - 1995	9.90	MMR
Sao Tome and Principe	1990 - 1995	9.80	STP
Slovenia	1990 - 1995	9.80	SVN
Georgia	1990 - 1995	9.70	GEO
Italy	1990 - 1995	9.70	ITA
Uruguay	1990 - 1995	9.70	URY
Barbados	1990 - 1995	9.60	BRB
Tajikistan	1990 - 1995	9.60	TJK
Kazakhstan	1990 - 1995	9.50	KAZ
Mongolia	1990 - 1995	9.40	MNG
Bangladesh	1990 - 1995	9.30	BGD
France	1990 - 1995	9.30	FRA
Swaziland	1990 - 1995	9.30	SWZ
Switzerland	1990 - 1995	9.20	CHE
Kiribati	1990 - 1995	9.10	KIR
Papua New Guinea	1990 - 1995	9.10	PNG
Greece	1990 - 1995	9.00	GRC
Armenia	1990 - 1995	8.80	ARM
Azerbaijan	1990 - 1995	8.80	AZE
United States	1990 - 1995	8.80	USA
Grenada	1990 - 1995	8.70	GRD
Netherlands	1990 - 1995	8.70	NLD
Bosnia and Herzegovina	1990 - 1995	8.60	BIH
Ireland	1990 - 1995	8.60	IRL
Namibia	1990 - 1995	8.60	NAM
Spain	1990 - 1995	8.60	ESP
Turkmenistan	1990 - 1995	8.60	TKM
Botswana	1990 - 1995	8.40	BWA
Kyrgyzstan	1990 - 1995	8.30	KGZ
South Africa	1990 - 1995	8.20	ZAF
Argentina	1990 - 1995	8.10	ARG
Guyana	1990 - 1995	8.10	GUY
Cape Verde	1990 - 1995	7.90	CPV
Guatemala	1990 - 1995	7.90	GTM
Macedonia	1990 - 1995	7.90	MKD
Puerto Rico	1990 - 1995	7.90	PRI
Egypt	1990 - 1995	7.80	EGY
Turkey	1990 - 1995	7.80	TUR
Vanuatu	1990 - 1995	7.70	VUT
Indonesia	1990 - 1995	7.60	IDN
Malta	1990 - 1995	7.60	MLT
New Zealand	1990 - 1995	7.60	NZL
Trinidad and Tobago	1990 - 1995	7.60	TTO
Maldives	1990 - 1995	7.50	MDV
Uzbekistan	1990 - 1995	7.50	UZB
El Salvador	1990 - 1995	7.40	SLV
Montenegro	1990 - 1995	7.40	MNE
Seychelles	1990 - 1995	7.30	SYC
Cuba	1990 - 1995	7.20	CUB
Suriname	1990 - 1995	7.20	SUR
Canada	1990 - 1995	7.10	CAN
Jamaica	1990 - 1995	7.10	JAM
Australia	1990 - 1995	7.00	AUS
Saint Lucia	1990 - 1995	7.00	LCA
Antigua and Barbuda	1990 - 1995	6.90	ATG
Brazil	1990 - 1995	6.90	BRA
Cyprus	1990 - 1995	6.90	CYP
Japan	1990 - 1995	6.90	JPN
Morocco	1990 - 1995	6.90	MAR
Peru	1990 - 1995	6.90	PER
Samoa	1990 - 1995	6.90	WSM
Iceland	1990 - 1995	6.80	ISL
Saint Vincent and the Grenadines	1990 - 1995	6.70	VCT
China	1990 - 1995	6.60	CHN
Lebanon	1990 - 1995	6.60	LBN
Sri Lanka	1990 - 1995	6.60	LKA
Nicaragua	1990 - 1995	6.50	NIC
Iraq	1990 - 1995	6.40	IRQ
Micronesia	1990 - 1995	6.40	FSM
Philippines	1990 - 1995	6.40	PHL
Albania	1990 - 1995	6.30	ALB
Honduras	1990 - 1995	6.30	HND
Fiji	1990 - 1995	6.20	FJI
Paraguay	1990 - 1995	6.20	PRY
Algeria	1990 - 1995	6.10	DZA
Colombia	1990 - 1995	6.10	COL
Israel	1990 - 1995	6.10	ISR
Mauritius	1990 - 1995	6.10	MUS
Thailand	1990 - 1995	6.10	THA
Tonga	1990 - 1995	6.10	TON
Vietnam	1990 - 1995	6.10	VNM
Dominican Republic	1990 - 1995	6.00	DOM
Iran	1990 - 1995	6.00	IRN
Ecuador	1990 - 1995	5.80	ECU
North Korea	1990 - 1995	5.80	PRK
Tunisia	1990 - 1995	5.80	TUN
Belize	1990 - 1995	5.60	BLZ
South Korea	1990 - 1995	5.60	KOR
Bahamas	1990 - 1995	5.50	BHS
Chile	1990 - 1995	5.50	CHL
Taiwan	1990 - 1995	5.50	TWN
United States Virgin Islands	1990 - 1995	5.50	VIR
Mexico	1990 - 1995	5.20	MEX
Venezuela	1990 - 1995	5.20	VEN
Libya	1990 - 1995	4.90	LBY
Panama	1990 - 1995	4.90	PAN
Malaysia	1990 - 1995	4.80	MYS
Oman	1990 - 1995	4.80	OMN
Guam	1990 - 1995	4.70	GUM
Jordan	1990 - 1995	4.70	JOR
Saudi Arabia	1990 - 1995	4.60	SAU
Singapore	1990 - 1995	4.20	SGP
Syria	1990 - 1995	4.20	SYR
Costa Rica	1990 - 1995	4.00	CRI
Brunei	1990 - 1995	3.50	BRN
Bahrain	1990 - 1995	3.20	BHR
Kuwait	1990 - 1995	2.50	KWT
United Arab Emirates	1990 - 1995	2.50	ARE
Qatar	1990 - 1995	2.10	QAT
