name	year_span	population	id
Sierra Leone	1995 - 2000	26.20	SLE
Angola	1995 - 2000	19.80	AGO
Mali	1995 - 2000	19.40	MLI
Central African Republic	1995 - 2000	19.00	CAF
Niger	1995 - 2000	18.60	NER
Zambia	1995 - 2000	18.40	ZMB
Nigeria	1995 - 2000	18.20	NGA
Chad	1995 - 2000	18.00	TCD
Uganda	1995 - 2000	17.60	UGA
Mozambique	1995 - 2000	17.50	MOZ
Malawi	1995 - 2000	17.10	MWI
Democratic Republic of Congo	1995 - 2000	16.80	COD
Côte d'Ivoire	1995 - 2000	16.40	CIV
Somalia	1995 - 2000	16.40	SOM
Rwanda	1995 - 2000	16.30	RWA
Burkina Faso	1995 - 2000	16.20	BFA
Cameroon	1995 - 2000	15.80	CMR
Guinea	1995 - 2000	15.40	GIN
Ethiopia	1995 - 2000	15.20	ETH
Ukraine	1995 - 2000	15.20	UKR
Burundi	1995 - 2000	15.00	BDI
Belarus	1995 - 2000	14.60	BLR
Russia	1995 - 2000	14.60	RUS
Zimbabwe	1995 - 2000	14.60	ZWE
Guinea-Bissau	1995 - 2000	14.50	GNB
Tanzania	1995 - 2000	14.50	TZA
Latvia	1995 - 2000	14.40	LVA
Liberia	1995 - 2000	14.40	LBR
Bulgaria	1995 - 2000	14.30	BGR
Congo	1995 - 2000	14.00	COG
Estonia	1995 - 2000	13.80	EST
Hungary	1995 - 2000	13.80	HUN
Benin	1995 - 2000	13.20	BEN
Lesotho	1995 - 2000	13.20	LSO
Afghanistan	1995 - 2000	12.90	AFG
Botswana	1995 - 2000	12.80	BWA
Togo	1995 - 2000	12.70	TGO
Eritrea	1995 - 2000	12.30	ERI
Gambia	1995 - 2000	12.30	GMB
Kenya	1995 - 2000	12.30	KEN
Lithuania	1995 - 2000	12.30	LTU
Romania	1995 - 2000	12.30	ROU
Swaziland	1995 - 2000	12.00	SWZ
Moldova	1995 - 2000	11.70	MDA
Kazakhstan	1995 - 2000	11.60	KAZ
Madagascar	1995 - 2000	11.40	MDG
Denmark	1995 - 2000	11.30	DNK
Haiti	1995 - 2000	11.30	HTI
Gabon	1995 - 2000	11.10	GAB
Senegal	1995 - 2000	11.10	SEN
Timor	1995 - 2000	11.00	TLS
Croatia	1995 - 2000	10.90	HRV
Czech Republic	1995 - 2000	10.90	CZE
United Kingdom	1995 - 2000	10.90	GBR
Serbia	1995 - 2000	10.80	SRB
Sudan	1995 - 2000	10.80	SDN
Bolivia	1995 - 2000	10.70	BOL
Germany	1995 - 2000	10.70	DEU
Ghana	1995 - 2000	10.70	GHA
Laos	1995 - 2000	10.70	LAO
Sweden	1995 - 2000	10.70	SWE
Cambodia	1995 - 2000	10.60	KHM
Belgium	1995 - 2000	10.40	BEL
Portugal	1995 - 2000	10.40	PRT
Djibouti	1995 - 2000	10.30	DJI
Norway	1995 - 2000	10.10	NOR
Austria	1995 - 2000	10.00	AUT
Georgia	1995 - 2000	10.00	GEO
Italy	1995 - 2000	9.90	ITA
Poland	1995 - 2000	9.90	POL
South Africa	1995 - 2000	9.90	ZAF
Barbados	1995 - 2000	9.80	BRB
Namibia	1995 - 2000	9.80	NAM
Slovakia	1995 - 2000	9.80	SVK
Comoros	1995 - 2000	9.70	COM
Finland	1995 - 2000	9.70	FIN
Mauritania	1995 - 2000	9.70	MRT
Bhutan	1995 - 2000	9.60	BTN
Slovenia	1995 - 2000	9.60	SVN
Yemen	1995 - 2000	9.60	YEM
