name	year_span	population	id
Central African Republic	2010 - 2015	15.30	CAF
Bulgaria	2010 - 2015	15.00	BGR
Ukraine	2010 - 2015	14.90	UKR
Latvia	2010 - 2015	14.30	LVA
Chad	2010 - 2015	14.00	TCD
Sierra Leone	2010 - 2015	13.90	SLE
Lesotho	2010 - 2015	13.60	LSO
Nigeria	2010 - 2015	13.60	NGA
Lithuania	2010 - 2015	13.50	LTU
Belarus	2010 - 2015	13.40	BLR
Côte d'Ivoire	2010 - 2015	13.40	CIV
Russia	2010 - 2015	13.40	RUS
Georgia	2010 - 2015	13.10	GEO
Hungary	2010 - 2015	12.60	HUN
Croatia	2010 - 2015	12.40	HRV
Romania	2010 - 2015	12.40	ROU
Serbia	2010 - 2015	12.40	SRB
Somalia	2010 - 2015	12.30	SOM
Estonia	2010 - 2015	11.70	EST
Burundi	2010 - 2015	11.60	BDI
Mali	2010 - 2015	11.60	MLI
Guinea-Bissau	2010 - 2015	11.40	GNB
Moldova	2010 - 2015	11.40	MDA
Mozambique	2010 - 2015	11.20	MOZ
South Africa	2010 - 2015	11.20	ZAF
Cameroon	2010 - 2015	11.10	CMR
Democratic Republic of Congo	2010 - 2015	10.90	COD
Germany	2010 - 2015	10.90	DEU
Swaziland	2010 - 2015	10.80	SWZ
Niger	2010 - 2015	10.70	NER
Barbados	2010 - 2015	10.50	BRB
Bosnia and Herzegovina	2010 - 2015	10.40	BIH
Guinea	2010 - 2015	10.40	GIN
Czech Republic	2010 - 2015	10.30	CZE
Portugal	2010 - 2015	10.30	PRT
Greece	2010 - 2015	10.20	GRC
Italy	2010 - 2015	10.20	ITA
Japan	2010 - 2015	9.90	JPN
Poland	2010 - 2015	9.90	POL
Belgium	2010 - 2015	9.80	BEL
Armenia	2010 - 2015	9.70	ARM
Benin	2010 - 2015	9.70	BEN
Montenegro	2010 - 2015	9.70	MNE
Burkina Faso	2010 - 2015	9.60	BFA
Macedonia	2010 - 2015	9.60	MKD
Slovakia	2010 - 2015	9.60	SVK
Zimbabwe	2010 - 2015	9.60	ZWE
Denmark	2010 - 2015	9.50	DNK
Finland	2010 - 2015	9.50	FIN
Sweden	2010 - 2015	9.50	SWE
Austria	2010 - 2015	9.40	AUT
Uganda	2010 - 2015	9.40	UGA
Angola	2010 - 2015	9.30	AGO
Togo	2010 - 2015	9.30	TGO
Uruguay	2010 - 2015	9.30	URY
Slovenia	2010 - 2015	9.20	SVN
Trinidad and Tobago	2010 - 2015	9.20	TTO
United Kingdom	2010 - 2015	9.00	GBR
Haiti	2010 - 2015	8.90	HTI
Kazakhstan	2010 - 2015	8.90	KAZ
France	2010 - 2015	8.80	FRA
Ghana	2010 - 2015	8.80	GHA
Liberia	2010 - 2015	8.80	LBR
Zambia	2010 - 2015	8.80	ZMB
Malta	2010 - 2015	8.70	MLT
Gambia	2010 - 2015	8.60	GMB
North Korea	2010 - 2015	8.60	PRK
Spain	2010 - 2015	8.60	ESP
Djibouti	2010 - 2015	8.50	DJI
Gabon	2010 - 2015	8.40	GAB
Congo	2010 - 2015	8.30	COG
Malawi	2010 - 2015	8.30	MWI
Namibia	2010 - 2015	8.30	NAM
Netherlands	2010 - 2015	8.30	NLD
Mauritania	2010 - 2015	8.20	MRT
Norway	2010 - 2015	8.20	NOR
United States	2010 - 2015	8.20	USA
Botswana	2010 - 2015	8.10	BWA
Guyana	2010 - 2015	8.10	GUY
Myanmar	2010 - 2015	8.10	MMR
Switzerland	2010 - 2015	8.10	CHE
Puerto Rico	2010 - 2015	7.90	PRI
Seychelles	2010 - 2015	7.90	SYC
Tanzania	2010 - 2015	7.90	TZA
Comoros	2010 - 2015	7.80	COM
Sudan	2010 - 2015	7.80	SDN
Eritrea	2010 - 2015	7.70	ERI
United States Virgin Islands	2010 - 2015	7.70	VIR
Argentina	2010 - 2015	7.60	ARG
Bolivia	2010 - 2015	7.60	BOL
Cuba	2010 - 2015	7.60	CUB
Ethiopia	2010 - 2015	7.60	ETH
Afghanistan	2010 - 2015	7.50	AFG
Pakistan	2010 - 2015	7.50	PAK
